algorithm,folder,model,label,level,run_id,out_dir
DMCHBA,rayleigh_style_sens_neg59_4,rayleigh_style,sens_-59.4,-59.4,dmchba_rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg59_4
DGA,ideal_1_0,ideal,1.0,,dga_ideal_1_0,runs/known_visit_core_500/raw/dga/ideal_1_0
DGA,bernoulli_drop_0_05,bernoulli,drop_0.05,0.05,dga_bernoulli_drop_0_05,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_05
DGA,bernoulli_drop_0_1,bernoulli,drop_0.1,0.1,dga_bernoulli_drop_0_1,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_1
DGA,bernoulli_drop_0_2,bernoulli,drop_0.2,0.2,dga_bernoulli_drop_0_2,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_2
DGA,bernoulli_drop_0_3,bernoulli,drop_0.3,0.3,dga_bernoulli_drop_0_3,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_3
DGA,bernoulli_drop_0_4,bernoulli,drop_0.4,0.4,dga_bernoulli_drop_0_4,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_4
DGA,bernoulli_drop_0_5,bernoulli,drop_0.5,0.5,dga_bernoulli_drop_0_5,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_5
DGA,bernoulli_drop_0_6,bernoulli,drop_0.6,0.6,dga_bernoulli_drop_0_6,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_6
DGA,bernoulli_drop_0_7,bernoulli,drop_0.7,0.7,dga_bernoulli_drop_0_7,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_7
